"FORMULA","YS"
"(CuMnNi)75Zn25",215
"(CuMnNi)80Zn20",140
"(CuMnNi)90Al10",515
"(CuMnNi)90Sn10",630
"(CuMnNi)95Al5",330
"(CuMnNi)95Sn5",380
"Al0.20CoCrFeMnNi",220
"Al0.25CoCrCu0.75FeNiTi0.5",750
"Al0.25CoFeNi",158
"Al0.25MoNbTiV",1250
"Al0.25NbTaTiV",1330
"Al0.2MoTaTiV",1021
"Al0.38CoCrFeMnNi",244
"Al0.3HfNbTaTiZr",1188
"Al0.43CoCrFeMnNi",285
"Al0.49CoCrFeMnNi",331
"Al0.56CoCrFeMnNi",526
"Al0.5CoCrCu0.5FeNiTi0.5",1580
"Al0.5CoFeNi",346
"Al0.5HfNbTaTiZr",1302
"Al0.5MoNbTiV",1625
"Al0.5NbTaTiV",1014
"Al0.62CoCrFeMnNi",833
"Al0.6MoTaTiV",962
"Al0.75CoCrCu0.25FeNiTi0.5",1900
"Al0.75CoFeNi",794
"Al0.75HfNbTaTiZr",1415
"Al0.75MoNbTiV",1260
"Al0.7Co0.3CrFeNi",2033
"Al1.125CuFe0.75NiTi1.125",980
"Al11.1(CoCrCuFeMnNiTiV)88.9",1862
"Al20(CoCrCuFeMnNiTiV)80",1465
"Al22.5Cu20Fe15Ni20Ti22.5",980
"Al40(CoCrCuFeMnNiTiV)60",1461
"Al8Cu0.5Li0.5Mg0.5Zn0.5",488
"Al8Li0.5Mg0.5Sn0.5Zn0.5",415
"AlC0.1CoCrFeNi",957
"AlC0.2CoCrFeNi",906
"AlC0.3CoCrFeNi",867
"AlC0.4CoCrFeNi",1056
"AlC0.5CoCrFeNi",1060
"AlC1.5CoCrFeNi",1255
"AlCCoCrFeNi",1251
"AlCoCrCuFeMnNi",1005
"AlCoCrCuFeNiTi",1234
"AlCoCrCuFeNiV",1469
"AlCoCrFeMo0.1Ni",1804
"AlCoCrFeMo0.2Ni",2456
"AlCoCrFeMo0.3Ni",2649
"AlCoCrFeMo0.4Ni",2670
"AlCoCrFeMo0.5Ni",2757
"AlCoCrFeNb0.1Ni",1641
"AlCoCrFeNb0.25Ni",1959
"AlCoCrFeNb0.5Ni",2473
"AlCoCrFeNiSi",2411
"AlCoCrFeNiSi0.2",1265
"AlCoCrFeNiSi0.4",1481
"AlCoCrFeNiSi0.6",1834
"AlCoCrFeNiSi0.8",2179
"AlCoCrFeNiTi0.5",2260
"AlCoCrFeNiTi1.5",2220
"AlCoFeNi",964
"AlCrFeNi",1406
"AlCrFeNiMo0.2",1487
"AlCrFeNiMo0.8",1513
"AlCuFeNiTi",1074
"AlCuNiTi",300
"AlHfNbTaTiZr",1489
"AlLi0.5MgSn0.2Zn0.5",546
"AlLiMgSnZn",600
"AlMo0.5NbTa0.5TiZr0.5",935
"AlMoNbTiV",1375
"AlNbTaTiV",993
"CoCrCuFeMnNiTiV",1312
"CoCrCuFeNiTi",1272
"CoCrCuFeNiTi0.8",1042
"CoCrFeMnNiV0.25",200
"CoCrFeMnNiV0.5",620
"CoCrFeMnNiV0.75",740
"CoCrFeMnNiV1.0",1660
"CoCrFeNb0.103Ni",318
"CoCrFeNb0.155Ni",322
"CoCrFeNb0.206Ni",403
"CoCrFeNb0.309Ni",479
"CoCrFeNb0.412Ni",638
"CoCrMnNi",282
"CoCrNi",300
"CoFeMnNi",170
"CoFeNiSi0.25",196
"CoFeNiSi0.5",476
"CoFeNiSi0.75",1301
"CoMnNi",231
"FeMnNi",221
"Hf0.5Mo0.5NbSi0.1TiZr",1350
"Hf0.5Mo0.5NbSi0.3TiZr",1370
"Hf0.5Mo0.5NbSi0.5TiZr",1600
"Hf0.5Mo0.5NbSi0.7TiZr",1550
"Hf0.5Mo0.5NbSi0.9TiZr",1650
"Hf0.5Mo0.5NbTiZrC0.1",1183
"Hf0.5Mo0.5NbTiZrC0.3",1201
"Hf0.5Nb0.5Ta0.5Ti1.5Zr",903
"HfMo0.25NbTaTiZr",1112
"HfMo0.5NbTaTiZr",1317
"HfMo0.75NbTaTiZr",1373
"HfMoNbZrTi",1719
"HfNb0.18Ta0.18Ti1.27Zr",540
"HfNbTiZr",879
"HfTa0.4TiZr",400
"HfTa0.5TiZr",700
"HfTa0.6TiZr",800
"HfTaTiZr",1500
"Mo0.3NbTiVZr",1289
"Mo0.5NbTiVZr",1473
"Mo0.7NbTiVZr",1706
"Mo1.3NbTiVZr",1496
"Mo1.5NbTiVZr",1603
"Mo1.7NbTiVZr",1645
"Mo2NbTiVZr",1765
"MoNbTaTi0.25W",1109
"MoNbTaTi0.5W",1211
"MoNbTaTi0.75W",1304
"MoNbTaTiV",1400
"MoNbTaV",1525
"MoNbTiV",1200
"MoNbTiV0.25Zr",1776
"MoNbTiV0.50Zr",1647
"MoNbTiV0.75Zr",1708
"MoNbTiV1.0Zr",1786
"MoNbTiV1.5Zr",1735
"MoNbTiV2.0Zr",1538
"MoNbTiV3.0Zr",1418
"MoNbTiVZr",1779
"MoNbTiZr",1592
"MoTaTiV",1221
"NbTaTiVW",1420
"NbTaVW",1530
"NbTiV0.3Mo0.1Zr",932
"NbTiV0.3Mo0.3Zr",1312
"NbTiV0.3Mo0.5Zr",1301
"NbTiV0.3Mo0.7Zr",1436
"NbTiV0.3Mo1.3Zr",1603
"NbTiV0.3Mo1.5Zr",1576
"NbTiV0.3MoZr",1455
"NbTiV0.3Zr",866
"(Al18.6Fe34.2Co23.6Ni23.6)97.3C2.7",1202
"(CoCrCuFeNi)84V16",616
"(CoCrCuFeNi)88V12",330
"(CoCrCuFeNi)92V8",307
"(CoCrCuFeNi)96V4",303
"(CoCrFeMnNi)84Mo16",765
"(CoCrFeMnNi)88Mo12",560
"(CoCrFeMnNi)92Mo8",330
"(CoCrFeMnNi)96Mo4",225
"Al0.5CoCrFeNiTi0.5",1100
"Al0.5CrFeMnNi",1091
"Al0.6CrFeMnNi",1130
"Al0.7CrFeMnNi",1170
"Al0.8CoCrFeNiTi0.2",968
"Al0.8CoCrFeNiTi1.2",1272
"Al0.8CrFeMnNi",1200
"Al1.2CoCrFeNiTi0.8",1503
"Al1.5CoCrFeNiTi0.5",1566
"Al1.8CoCrFeNiTi0.2",1324
"Al15Li35Mg35Ca10Si5",418
"Al15Li38Mg45Ca0.5Si1.5",342
"Al15Li38Mg48Ca1 Si1",360
"Al15Li39Mg45Ca0.5Si0.5",300
"Al16Cr16Co16Fe16Ni34.4",545
"Al16Cr16Co16Fe16Ni35.5",545
"Al17Cr17Co17Fe17Ni33.3",545
"Al17Cr17Fe33Ni33",796
"Al19.9Li30Mg35Si10Ca5Y0.1",556
"Al23Cr26Fe26Ni26",770
"Al27Cr24Fe24Ni24",1044
"Al29Cr24Fe24Ni24",906.8
"Al2CoCrFeNi",1241
"Al30Cr23Fe23Ni23",1122.8
"AlCo0.25CrFeNi",1363
"AlCo0.5CrFeNi",1349
"AlCo0.75CrFeNi",1331
"AlCoCuFeNi0.5",929
"AlCoCuFeNi0.8",1021
"AlCoCuFeNi1.5",680
"AlCoCuFeNi2",544
"AlCoCuFeNi3",268
"AlCoCuFeNiCr",1285
"AlCoCuFeNiCrTi",1523
"AlCoCuFeNiTi",1612
"AlCrFeNiMo0.5Ti0.25",2161.7
"AlCrFeNiMo0.5Ti0.4",2185.1
"AlCrFeNiMo0.5Ti0.5",2228.7
"AlCrFeNiMo0.5Ti0.6",1314.5
"AlCrFeNiMo0.5Ti0.75",618.8
"AlCuCrFeMn",1010
"AlCuCrFeMnW0.05",1120
"AlCuCrFeMnW0.1",1250
"AlCuCrFeMnW0.5",1510
"AlNbTiVZr0.5",1480
"Co0.2Cr0.2Fe0.2Mn0.2Ni0.2",386.2
"Co0.5CrFeNi1.5Ti0.3",586
"Co17Cr17Fe17Mn17Ni17V13",780
"Co18Cr18Fe18Mn18Ni18V9",620
"Co19Cr19Fe19Mn19Ni19V5",200
"Co24Cr24Fe24Ni24Mo2",198.8
"Co24Cr24Fe24Ni24Mo5",254.7
"Co25Cr25(FeNi)50",214
"Co25Cr25Fe25Ni25",155
"Co30Cr10Fe10Al18Ni29Mo3",1198.3
"Co30Cr10Fe10Al18Ni30Mo2",1250.8
"Co30Cr10Fe10Al18Ni31Mo1",1159.7
"Co30Cr10Fe10Al18Ni32",1129.4
"Co35Cr25(FeNi)40",241
"Co45Cr25(FeNi)30",299
"Co55Cr25(FeNi)20",392
"Co65Cr25(FeNi)10",482
"CoCrFeMn",338
"CoCrFeMnNiV",1700
"CoCrFeNi2.1Nb0.4",640
"CoCrFeNiMo0.2",400
"CoCrFeNiPdMn0.2",650
"CoCrFeNiPdMn0.4",650
"CoCrFeNiPdMn0.6",650
"CoCrFeNiPdMn0.8",650
"CoCrFeNiTi0.3",540
"CoCrFeNiW0.2",335
"CoCrFeNiW0.5",556
"CoCrNiCuZn",2121
"Cr19.68Mn19.68Fe19.68Co19.68Ni19.68Nb0.8C0.8",732
"CrFeNi2.1Al0.9",610
"CrFeNi2.2Al0.8",479
"CrFeNi2.3Al0.7",461
"CrFeNi2.4Al0.6",441
"CrFeNi2Al",774
"CrFeNi2Ti0.3",672
"CrFeNiTi0.2",2297.94
"CrFeNiTi0.3",2364.63
"CrFeNiTi0.4",2475.41
"CrFeNiTi0.5",2380.79
"CrFeNiTi0.6",1923.15
"CrNbTiZr",1260
"CuNi1.01Si0.28Co0.14Cr0.45",777
"FeCoCrNiMnAl0.1",1631
"FeCoCrNiMnAl0.3",1836
"FeCoCrNiMnAl0.5",1932
"FeCoCrNiMnAl0.7",2230
"FeCoCrNiMnC0.5",520.9
"FeCoCrNiMnC1",643.8
"FeCoNiCuNb11.6",1703
"FeCoNiCuNb15",1415
"FeCoNiCuNb5",1498
"FeCoNiCuNb7.5",1635
"MoNbFeCrTi",1647
"MoNbFeCrV",2663
"MoNbFeVTi",1707
"MoNbHfZrTi",1719
"Nb1.5TaTiZr0.5",822
"Nb42Mo20Ti13Cr12V12Ta1",2680
"NbTaTiZr",1144
"NbTaWMo",1217
"NbTaWMoSi0.25",1826
"NbTaWMoSi0.5",1883
"NbTiVZr",1105
"Ti2ZrHf0.5VNb0.25",1115
"Ti2ZrHf0.5VNb0.75",1025
"TiZrHf",773
"TiZrHfSc",1001
"TiZrHfScY",793
"TiZrHfY",554
